folder,best_frame_1,best_frame_2,diff_image,temporal_count,analysis_image,decoded_text,success,method,note
hocho_X8,frame_00083.png,frame_00084.png,hocho_X8\rgb_max_diff_maps\00083-00084-FRAME_rgbmax_scale1.00.png,17,median_eval_analysis\hocho_X8\frame_00083-frame_00084_ng_temporal_decode_fallback_decode_.png,,0,temporal_decode失敗|fallback_decode失敗,QR未検出
hocho_X10,frame_00113.png,frame_00114.png,hocho_X10\rgb_max_diff_maps\00113-00114-FRAME_rgbmax_scale1.00.png,14,median_eval_analysis\hocho_X10\frame_00113-frame_00114_ng_temporal_decode_fallback_decode_.png,,0,temporal_decode失敗|fallback_decode失敗,QR未検出
rice_B2,frame_00072.png,frame_00073.png,rice_B2\rgb_max_diff_maps\00072-00073-FRAME_rgbmax_scale1.00.png,17,median_eval_analysis\rice_B2\frame_00072-frame_00073_ng_temporal_decode_fallback_decode_.png,,0,temporal_decode失敗|fallback_decode失敗,QR未検出
rice_B4,frame_00037.png,frame_00038.png,rice_B4\rgb_max_diff_maps\00037-00038-FRAME_rgbmax_scale1.00.png,17,median_eval_analysis\rice_B4\frame_00037-frame_00038_ng_temporal_decode_fallback_decode_.png,,0,temporal_decode失敗|fallback_decode失敗,QR未検出
rice_B6,frame_00080.png,frame_00081.png,rice_B6\rgb_max_diff_maps\00080-00081-FRAME_rgbmax_scale1.00.png,17,median_eval_analysis\rice_B6\frame_00080-frame_00081_ng_temporal_decode_fallback_decode_.png,,0,temporal_decode失敗|fallback_decode失敗,QR未検出
rice_B8,frame_00001.png,frame_00002.png,rice_B8\rgb_max_diff_maps\00001-00002-FRAME_rgbmax_scale1.00.png,10,median_eval_analysis\rice_B8\frame_00001-frame_00002_ng_temporal_decode_fallback_decode_.png,,0,temporal_decode失敗|fallback_decode失敗,QR未検出
rice_B10,frame_00038.png,frame_00039.png,rice_B10\rgb_max_diff_maps\00038-00039-FRAME_rgbmax_scale1.00.png,17,median_eval_analysis\rice_B10\frame_00038-frame_00039_ng_temporal_decode_fallback_decode_.png,,0,temporal_decode失敗|fallback_decode失敗,QR未検出
rice_G2,frame_00075.png,frame_00076.png,rice_G2\rgb_max_diff_maps\00075-00076-FRAME_rgbmax_scale1.00.png,17,median_eval_analysis\rice_G2\frame_00075-frame_00076_ng_temporal_decode_fallback_decode_.png,,0,temporal_decode失敗|fallback_decode失敗,QR未検出
rice_G4,frame_00102.png,frame_00103.png,rice_G4\rgb_max_diff_maps\00102-00103-FRAME_rgbmax_scale1.00.png,17,median_eval_analysis\rice_G4\frame_00102-frame_00103_ng_temporal_decode_fallback_decode_.png,,0,temporal_decode失敗|fallback_decode失敗,QR未検出
rice_G6,frame_00075.png,frame_00076.png,rice_G6\rgb_max_diff_maps\00075-00076-FRAME_rgbmax_scale1.00.png,17,median_eval_analysis\rice_G6\frame_00075-frame_00076_ng_temporal_decode_fallback_decode_.png,,0,temporal_decode失敗|fallback_decode失敗,QR未検出
rice_G8,frame_00024.png,frame_00025.png,rice_G8\rgb_max_diff_maps\00024-00025-FRAME_rgbmax_scale1.00.png,17,median_eval_analysis\rice_G8\frame_00024-frame_00025_ng_temporal_decode_fallback_decode_.png,,0,temporal_decode失敗|fallback_decode失敗,QR未検出
rice_G10,frame_00034.png,frame_00035.png,rice_G10\rgb_max_diff_maps\00034-00035-FRAME_rgbmax_scale1.00.png,17,median_eval_analysis\rice_G10\frame_00034-frame_00035_ok_temporal_decode_fallback_gray_x1.0_k5_i1.png,https://www.nagaoka-ct.ac.jp,1,temporal_decode失敗|fallback_gray_x1.0_k5_i1,
rice_I2,frame_00083.png,frame_00084.png,rice_I2\rgb_max_diff_maps\00083-00084-FRAME_rgbmax_scale1.00.png,17,median_eval_analysis\rice_I2\frame_00083-frame_00084_ng_temporal_decode_fallback_decode_.png,,0,temporal_decode失敗|fallback_decode失敗,QR未検出
rice_I4,frame_00087.png,frame_00088.png,rice_I4\rgb_max_diff_maps\00087-00088-FRAME_rgbmax_scale1.00.png,17,median_eval_analysis\rice_I4\frame_00087-frame_00088_ng_temporal_decode_fallback_decode_.png,,0,temporal_decode失敗|fallback_decode失敗,QR未検出
rice_I6,frame_00107.png,frame_00108.png,rice_I6\rgb_max_diff_maps\00107-00108-FRAME_rgbmax_scale1.00.png,17,median_eval_analysis\rice_I6\frame_00107-frame_00108_ng_temporal_decode_fallback_decode_.png,,0,temporal_decode失敗|fallback_decode失敗,QR未検出
rice_I8,frame_00007.png,frame_00008.png,rice_I8\rgb_max_diff_maps\00007-00008-FRAME_rgbmax_scale1.00.png,16,median_eval_analysis\rice_I8\frame_00007-frame_00008_ng_temporal_decode_fallback_decode_.png,,0,temporal_decode失敗|fallback_decode失敗,QR未検出
rice_I10,frame_00086.png,frame_00087.png,rice_I10\rgb_max_diff_maps\00086-00087-FRAME_rgbmax_scale1.00.png,17,median_eval_analysis\rice_I10\frame_00086-frame_00087_ng_temporal_decode_fallback_decode_.png,,0,temporal_decode失敗|fallback_decode失敗,QR未検出
rice_R2,frame_00050.png,frame_00051.png,rice_R2\rgb_max_diff_maps\00050-00051-FRAME_rgbmax_scale1.00.png,17,median_eval_analysis\rice_R2\frame_00050-frame_00051_ng_temporal_decode_fallback_decode_.png,,0,temporal_decode失敗|fallback_decode失敗,QR未検出
rice_R4,frame_00076.png,frame_00077.png,rice_R4\rgb_max_diff_maps\00076-00077-FRAME_rgbmax_scale1.00.png,17,median_eval_analysis\rice_R4\frame_00076-frame_00077_ng_temporal_decode_fallback_decode_.png,,0,temporal_decode失敗|fallback_decode失敗,QR未検出
rice_R6,frame_00074.png,frame_00075.png,rice_R6\rgb_max_diff_maps\00074-00075-FRAME_rgbmax_scale1.00.png,17,median_eval_analysis\rice_R6\frame_00074-frame_00075_ng_temporal_decode_fallback_decode_.png,,0,temporal_decode失敗|fallback_decode失敗,QR未検出
rice_R8,frame_00050.png,frame_00051.png,rice_R8\rgb_max_diff_maps\00050-00051-FRAME_rgbmax_scale1.00.png,17,median_eval_analysis\rice_R8\frame_00050-frame_00051_ok_temporal_decode_fallback_median_gray_x2.0_k5_i1.png,https://www.nagaoka-ct.ac.jp,1,temporal_decode失敗|fallback_median_gray_x2.0_k5_i1,
rice_R10,frame_00051.png,frame_00052.png,rice_R10\rgb_max_diff_maps\00051-00052-FRAME_rgbmax_scale1.00.png,17,median_eval_analysis\rice_R10\frame_00051-frame_00052_ok_temporal_decode_fallback_gray_x1.0_k5_i1.png,https://www.nagaoka-ct.ac.jp,1,temporal_decode失敗|fallback_gray_x1.0_k5_i1,
rice_X2,frame_00097.png,frame_00098.png,rice_X2\rgb_max_diff_maps\00097-00098-FRAME_rgbmax_scale1.00.png,17,median_eval_analysis\rice_X2\frame_00097-frame_00098_ng_temporal_decode_fallback_decode_.png,,0,temporal_decode失敗|fallback_decode失敗,QR未検出
rice_X4,frame_00117.png,frame_00118.png,rice_X4\rgb_max_diff_maps\00117-00118-FRAME_rgbmax_scale1.00.png,10,median_eval_analysis\rice_X4\frame_00117-frame_00118_ng_temporal_decode_fallback_decode_.png,,0,temporal_decode失敗|fallback_decode失敗,QR未検出
rice_X6,frame_00029.png,frame_00030.png,rice_X6\rgb_max_diff_maps\00029-00030-FRAME_rgbmax_scale1.00.png,17,median_eval_analysis\rice_X6\frame_00029-frame_00030_ng_temporal_decode_fallback_decode_.png,,0,temporal_decode失敗|fallback_decode失敗,QR未検出
rice_X8,frame_00018.png,frame_00019.png,rice_X8\rgb_max_diff_maps\00018-00019-FRAME_rgbmax_scale1.00.png,17,median_eval_analysis\rice_X8\frame_00018-frame_00019_ng_temporal_decode_fallback_decode_.png,,0,temporal_decode失敗|fallback_decode失敗,QR未検出
rice_X10,frame_00001.png,frame_00002.png,rice_X10\rgb_max_diff_maps\00001-00002-FRAME_rgbmax_scale1.00.png,10,median_eval_analysis\rice_X10\frame_00001-frame_00002_ng_temporal_decode_fallback_decode_.png,,0,temporal_decode失敗|fallback_decode失敗,QR未検出
