base_image,variant_file,index,mode,channel,psnr,ssim
hocho.png,hocho_8_normalI.png,8,normal,I,44.00005432188571,0.9995258736323461
hocho.png,hocho_8_normalR.png,8,normal,R,42.14311343763409,0.9981592766873453
hocho.png,hocho_8_normalX.png,8,normal,X,42.38416766080466,0.9987636301318942
nagaoka_fireworks.png,nagaoka_fireworks_1_invB.png,1,inv,B,42.90180986251886,0.8839038107369864
nagaoka_fireworks.png,nagaoka_fireworks_1_invG.png,1,inv,G,42.90527018501844,0.882954752114843
nagaoka_fireworks.png,nagaoka_fireworks_1_invI.png,1,inv,I,48.53638302421291,0.9755838805174223
nagaoka_fireworks.png,nagaoka_fireworks_1_invR.png,1,inv,R,42.90617154495932,0.8837700154564572
nagaoka_fireworks.png,nagaoka_fireworks_1_invX.png,1,inv,X,48.55340287228266,0.97563636558254
nagaoka_fireworks.png,nagaoka_fireworks_1_normalB.png,1,normal,B,42.888538064855986,0.8839282641900388
nagaoka_fireworks.png,nagaoka_fireworks_1_normalG.png,1,normal,G,42.885091043058395,0.8845282654724623
nagaoka_fireworks.png,nagaoka_fireworks_1_normalI.png,1,normal,I,48.49679030922107,0.9756322448040806
nagaoka_fireworks.png,nagaoka_fireworks_1_normalR.png,1,normal,R,42.884194047235084,0.8838399135077144
nagaoka_fireworks.png,nagaoka_fireworks_1_normalX.png,1,normal,X,48.47999045823166,0.9756993224722568
nagaoka_fireworks.png,nagaoka_fireworks_2_invB.png,2,inv,B,42.69571981120053,0.8838046826114222
nagaoka_fireworks.png,nagaoka_fireworks_2_invG.png,2,inv,G,42.70232210179019,0.8828455941308024
nagaoka_fireworks.png,nagaoka_fireworks_2_invI.png,2,inv,I,47.82168601711931,0.9754962933737068
nagaoka_fireworks.png,nagaoka_fireworks_2_invR.png,2,inv,R,42.70404267992281,0.8829551942902545
nagaoka_fireworks.png,nagaoka_fireworks_2_invX.png,2,inv,X,47.85060014942643,0.9755397153804133
nagaoka_fireworks.png,nagaoka_fireworks_2_normalB.png,2,normal,B,42.670441388765646,0.8838678999655025
nagaoka_fireworks.png,nagaoka_fireworks_2_normalG.png,2,normal,G,42.66388735043266,0.8844823727980414
nagaoka_fireworks.png,nagaoka_fireworks_2_normalI.png,2,normal,I,47.754727704414904,0.9755900490286046
nagaoka_fireworks.png,nagaoka_fireworks_2_normalR.png,2,normal,R,42.66218260452046,0.8845283879542776
nagaoka_fireworks.png,nagaoka_fireworks_2_normalX.png,2,normal,X,47.726442819478464,0.975638528272688
nagaoka_fireworks.png,nagaoka_fireworks_3_invB.png,3,inv,B,42.36866341350935,0.8837489614464443
