folder,frame_1,frame_2,diff_image,analysis_image,decoded_text,success,method,note,recall,precision,accuracy,noise,gt_note
rice_I6,frame_00035.png,frame_00036.png,rice_I6\rgb_max_diff_maps\00035-00036-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.076901,0.642960,0.626529,0.023527,
rice_I6,frame_00036.png,frame_00037.png,rice_I6\rgb_max_diff_maps\00036-00037-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.097647,0.684286,0.633643,0.022978,
rice_I6,frame_00037.png,frame_00038.png,rice_I6\rgb_max_diff_maps\00037-00038-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.090376,0.679642,0.631780,0.021884,
rice_I6,frame_00038.png,frame_00039.png,rice_I6\rgb_max_diff_maps\00038-00039-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.077553,0.652753,0.627341,0.022937,
rice_I6,frame_00039.png,frame_00040.png,rice_I6\rgb_max_diff_maps\00039-00040-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.085073,0.653210,0.628737,0.022245,
rice_I6,frame_00040.png,frame_00041.png,rice_I6\rgb_max_diff_maps\00040-00041-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.092417,0.682129,0.632389,0.022076,
rice_I6,frame_00041.png,frame_00042.png,rice_I6\rgb_max_diff_maps\00041-00042-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.082087,0.674248,0.629712,0.021894,
rice_I6,frame_00042.png,frame_00043.png,rice_I6\rgb_max_diff_maps\00042-00043-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.081797,0.652400,0.628083,0.023033,
rice_I6,frame_00043.png,frame_00044.png,rice_I6\rgb_max_diff_maps\00043-00044-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.083159,0.641747,0.627511,0.021360,
rice_I6,frame_00044.png,frame_00045.png,rice_I6\rgb_max_diff_maps\00044-00045-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.070852,0.614778,0.623536,0.021278,
rice_I6,frame_00045.png,frame_00046.png,rice_I6\rgb_max_diff_maps\00045-00046-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.492494,0.801086,0.756462,0.033144,
rice_I6,frame_00046.png,frame_00047.png,rice_I6\rgb_max_diff_maps\00046-00047-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.523592,0.802645,0.765992,0.031617,
rice_I6,frame_00047.png,frame_00048.png,rice_I6\rgb_max_diff_maps\00047-00048-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.102136,0.641971,0.630774,0.024869,
rice_I6,frame_00048.png,frame_00049.png,rice_I6\rgb_max_diff_maps\00048-00049-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.456690,0.807813,0.747890,0.030475,
rice_I6,frame_00049.png,frame_00050.png,rice_I6\rgb_max_diff_maps\00049-00050-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.538976,0.799220,0.769365,0.035135,
rice_I6,frame_00050.png,frame_00051.png,rice_I6\rgb_max_diff_maps\00050-00051-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.082399,0.626346,0.626160,0.023050,
rice_I6,frame_00051.png,frame_00052.png,rice_I6\rgb_max_diff_maps\00051-00052-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.093715,0.644852,0.629586,0.023145,
rice_I6,frame_00052.png,frame_00053.png,rice_I6\rgb_max_diff_maps\00052-00053-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.068630,0.574807,0.620213,0.026197,
rice_I6,frame_00053.png,frame_00054.png,rice_I6\rgb_max_diff_maps\00053-00054-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.103113,0.597807,0.626352,0.029457,
rice_I6,frame_00054.png,frame_00055.png,rice_I6\rgb_max_diff_maps\00054-00055-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.091385,0.662827,0.630667,0.022063,
rice_I6,frame_00055.png,frame_00056.png,rice_I6\rgb_max_diff_maps\00055-00056-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.079033,0.652752,0.627609,0.022226,
rice_I6,frame_00056.png,frame_00057.png,rice_I6\rgb_max_diff_maps\00056-00057-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.073033,0.617695,0.624067,0.023741,
rice_I6,frame_00057.png,frame_00058.png,rice_I6\rgb_max_diff_maps\00057-00058-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.075594,0.617588,0.624437,0.024430,
rice_I6,frame_00058.png,frame_00059.png,rice_I6\rgb_max_diff_maps\00058-00059-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.084716,0.673804,0.630205,0.022714,
rice_I6,frame_00059.png,frame_00060.png,rice_I6\rgb_max_diff_maps\00059-00060-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.350219,0.489378,0.607426,0.214592,
rice_I6,frame_00060.png,frame_00061.png,rice_I6\rgb_max_diff_maps\00060-00061-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.147799,0.696764,0.645585,0.036559,
